Pipeline,Mode,Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
pipeline3_organic_injected,user_intent_only,RandomForest,0.4987142857142857,0.4904153354632588,0.4946227653061224,0.4974643320012616,3.809149026870728,0.0486986637115478,14000,MINILM,0.0034784759793962
pipeline3_organic_injected,user_intent_only,XGBoost,0.4994285714285714,0.5010679196924391,0.4942663469387754,0.4927750364069786,2.8455252647399902,0.0028820037841796,14000,MINILM,0.0002058574131556
pipeline3_organic_injected,user_intent_only,LightGBM,0.4972857142857143,0.5092734625575234,0.4936167959183674,0.495906059269235,4.130718469619751,0.0069122314453125,14000,OPENAI,0.0004937308175223
pipeline1_alamsabi,user_intent_only,LogisticRegression,0.4499285714285714,0.3902130018212051,0.4257316632653061,0.4426636548329973,2.6646249294281006,0.022252082824707,14000,MINILM,0.001589434487479
pipeline1_alamsabi,user_intent_only,RandomForest,0.4315714285714285,0.4008432464990212,0.3945408367346938,0.4227889322532426,3.980892181396485,0.0727789402008056,14000,OPENAI,0.0051984957286289
pipeline1_alamsabi,user_intent_only,XGBoost,0.4273571428571429,0.4308129215477458,0.3938800816326531,0.4260921168852423,5.300574541091919,0.004667043685913,14000,OPENAI,0.0003333602632795
pipeline1_alamsabi,user_intent_only,LightGBM,0.4286428571428571,0.4234954954954955,0.3936241020408163,0.4238616282621377,4.066356897354126,0.0076863765716552,14000,OPENAI,0.0005490268979753
pipeline1_alamsabi,user_intent_only,RandomForest,0.4184285714285714,0.3612113604268006,0.3729010714285714,0.4109225690947119,4.30249810218811,0.1462886333465576,14000,QWEN3,0.0104491880961826
pipeline1_alamsabi,user_intent_only,XGBoost,0.4144285714285714,0.3637069233157404,0.367443,0.4088857015499131,9.863611936569214,0.1010551452636718,14000,QWEN3,0.0072182246616908
pipeline1_alamsabi,user_intent_only,RandomForest,0.4123571428571428,0.3556042923161275,0.3633634081632653,0.4055713672476668,1.2121737003326416,0.2447423934936523,14000,MINILM,0.0174815995352608
pipeline1_alamsabi,user_intent_only,LightGBM,0.4125,0.3504698728579326,0.3632770408163265,0.405767001163132,7.901910305023193,0.1042203903198242,14000,QWEN3,0.0074443135942731
pipeline1_alamsabi,user_intent_only,LogisticRegression,0.409,0.3416613621896881,0.3577539591836735,0.402920017582102,25.72780585289001,0.0942475795745849,14000,OPENAI,0.0067319699696132
pipeline1_alamsabi,user_intent_only,XGBoost,0.4066428571428571,0.37263046597689,0.351166275510204,0.3993394866331204,1.8718688488006592,0.0027587413787841,14000,MINILM,0.0001970529556274
pipeline1_alamsabi,user_intent_only,LightGBM,0.4048571428571428,0.3682135274491962,0.3492613571428571,0.3981984064255472,1.2451603412628174,0.0059418678283691,14000,MINILM,0.0004244191305977
pipeline1_alamsabi,user_intent_only,LogisticRegression,0.4020714285714286,0.335160034945596,0.3437469489795918,0.3951544202536219,55.28520894050598,0.6614267826080322,14000,QWEN3,0.047244770186288
